"Symbol","Description","Product Type","OneSource List","Transaction Fee","Select List","Schwab Social Funds List","Net Expense Ratio","Gross Expense Ratio","Inception Date","Monthly NAV Return (1 year)","Monthly NAV Return (5 year)","Monthly NAV Return (10 year)","Monthly NAV Return (Since Inception)","Monthly Market Return (1 year)","Monthly Market Return (5 year)","Monthly Market Return (10 year)","Monthly Market Return (Since Inception)","Monthly Performance as of","Quarterly NAV Return (1 year)","Quarterly NAV Return (5 year)","Quarterly NAV Return (10 year)","Quarterly NAV Return (Since Inception)","Quarterly Market Return (1 year)","Quarterly Market Return (5 year)","Quarterly Market Return (10 year)","Quarterly Market Return (Since Inception)","Quarterly Performance as of","Morningstar Category","Morningstar Overall","Morningstar 3 Year","Morningstar 5 Year","Morningstar 10 Year","Ranking as of"
"CXSE","WisdomTree China ex-State-Owned Enterprises Fund","ETF","--","--","--","No","0.32%","0.32%","09/19/2012","+18.51%","-3.64%","+1.41%","+3.57%","+19.41%","-3.55%","+1.36%","+3.43%","04/30/2025","+30.80%","-1.22%","+3.43%","+3.99%","+31.39%","-1.06%","+3.40%","+3.93%","03/31/2025","China Region","3 stars out of 83 funds","2 stars out of 83 funds","2 stars out of 69 funds","3 stars out of 43 funds","04/30/2025"
"DGRE","WisdomTree Emerging Markets Quality Dividend Growth Fund","ETF","--","--","--","No","0.32%","0.32%","08/01/2013","+2.14%","+6.37%","+2.84%","+2.63%","+0.92%","+6.53%","+2.70%","+2.35%","04/30/2025","-2.55%","+7.51%","+2.82%","+2.28%","-3.67%","+7.67%","+2.82%","+2.09%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","3 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"EFA","iShares MSCI EAFE ETF","ETF","--","--","--","No","0.32%","0.32%","08/14/2001","+13.44%","+11.45%","+5.44%","+5.68%","+13.14%","+11.61%","+5.48%","+5.67%","04/30/2025","+5.56%","+11.95%","+5.45%","+5.53%","+5.57%","+12.06%","+5.47%","+5.53%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","4 stars out of 657 funds","3 stars out of 620 funds","3 stars out of 435 funds","04/30/2025"
"XSOE","WisdomTree Emerging Markets ex-State-Owned Enterprises Fund","ETF","--","--","--","No","0.32%","0.32%","12/10/2014","+7.28%","+4.78%","+3.39%","+4.06%","+7.86%","+4.99%","+3.39%","+4.10%","04/30/2025","+5.47%","+6.36%","+3.76%","+3.90%","+6.27%","+6.50%","+3.85%","+4.05%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","2 stars out of 722 funds","2 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"NTSE","WisdomTree Emerging Markets Efficient Core Fund","ETF","--","--","--","No","0.32%","0.32%","05/18/2021","+11.36%","--","--","-4.17%","+11.56%","--","--","-4.32%","04/30/2025","+8.89%","--","--","-4.57%","+9.49%","--","--","-4.42%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","2 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"STXE","Strive Emerging Markets Ex-China ETF","ETF","--","--","--","No","0.32%","0.32%","01/30/2023","+3.59%","--","--","+7.37%","+3.29%","--","--","+7.31%","04/30/2025","-1.07%","--","--","+6.11%","-1.47%","--","--","+6.12%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"XC","WisdomTree Emerging Markets ex-China Fund","ETF","--","--","--","No","0.32%","0.32%","09/20/2022","+3.09%","--","--","+9.54%","+3.62%","--","--","+9.70%","04/30/2025","-2.29%","--","--","+8.15%","-1.79%","--","--","+8.63%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"AVEM","Avantis Emerging Markets Equity ETF","ETF","--","--","--","No","0.33%","0.33%","09/17/2019","+7.02%","+9.74%","--","+6.01%","+6.78%","+9.74%","--","+6.12%","04/30/2025","+6.92%","+11.66%","--","+5.92%","+7.04%","+11.58%","--","+6.11%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","4 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"AVSE","Avantis Responsible Emerging Markets Equity ETF","ETF","--","--","--","Yes","0.33%","0.33%","03/28/2022","+8.22%","--","--","+4.00%","+8.09%","--","--","+4.03%","04/30/2025","+7.71%","--","--","+3.68%","+7.85%","--","--","+3.80%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"EFV","iShares MSCI EAFE Value ETF","ETF","--","--","--","No","0.33%","0.33%","08/01/2005","+19.31%","+14.50%","+4.94%","+4.67%","+19.32%","+14.69%","+4.97%","+4.66%","04/30/2025","+13.53%","+14.89%","+5.04%","+4.50%","+13.39%","+15.02%","+5.03%","+4.50%","03/31/2025","Foreign Large Value","4 stars out of 337 funds","4 stars out of 337 funds","4 stars out of 312 funds","3 stars out of 222 funds","04/30/2025"
"AVXC","Avantis Emerging Markets Ex-China Equity ETF","ETF","--","--","--","No","0.33%","0.33%","03/19/2024","+1.60%","--","--","+1.76%","+1.19%","--","--","+1.80%","04/30/2025","-2.17%","--","--","-0.96%","-1.54%","--","--","-0.75%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"CCMG","CCM Global Equity ETF","ETF","--","--","--","No","0.33%","0.44%","01/17/2024","+6.45%","--","--","+9.70%","+6.36%","--","--","+9.78%","04/30/2025","+3.93%","--","--","+11.71%","+3.70%","--","--","+11.60%","03/31/2025","Global Large-Stock Value","-- stars out of 147 funds","-- stars out of 147 funds","-- stars out of 134 funds","-- stars out of 114 funds","04/30/2025"
"IMFL","Invesco International Developed Dynamic Multifactor ETF","ETF","--","--","--","No","0.34%","0.34%","02/24/2021","+7.68%","--","--","+4.89%","+6.78%","--","--","+4.17%","04/30/2025","-0.13%","--","--","+3.45%","-0.84%","--","--","+3.00%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"JEMA","JPMorgan ActiveBuilders Emerging Markets Equity ETF","ETF","--","--","--","No","0.34%","0.34%","03/10/2021","+8.25%","--","--","-2.93%","+7.52%","--","--","-3.05%","04/30/2025","+6.92%","--","--","-3.14%","+6.90%","--","--","-3.19%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","2 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"AVNV","Avantis All International Markets Value ETF","ETF","--","--","--","No","0.34%","0.36%","06/27/2023","+11.85%","--","--","+14.05%","+11.78%","--","--","+14.05%","04/30/2025","+7.46%","--","--","+12.98%","+7.48%","--","--","+13.07%","03/31/2025","Foreign Large Value","-- stars out of 337 funds","-- stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"DBEF","Xtrackers MSCI EAFE Hedged Equity ETF","ETF","--","--","--","No","0.35%","0.35%","06/09/2011","+7.29%","+14.14%","+7.87%","+8.94%","+7.69%","+14.35%","+7.91%","+8.85%","04/30/2025","+6.73%","+15.40%","+7.99%","+9.00%","+7.17%","+15.79%","+8.07%","+8.96%","03/31/2025","Foreign Large Blend","5 stars out of 657 funds","5 stars out of 657 funds","5 stars out of 620 funds","5 stars out of 435 funds","04/30/2025"
"HAWX","iShares Currency Hedged MSCI ACWI ex U.S. ETF","ETF","--","--","--","No","0.35%","0.70%","06/29/2015","+9.94%","+12.56%","--","+7.57%","+10.10%","+12.64%","--","+7.45%","04/30/2025","+9.95%","+14.06%","--","+7.71%","+10.03%","+14.22%","--","+7.58%","03/31/2025","Foreign Large Blend","5 stars out of 657 funds","5 stars out of 657 funds","5 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"HEFA","iShares Currency Hedged MSCI EAFE ETF","ETF","--","--","--","No","0.35%","0.70%","01/31/2014","+8.05%","+14.56%","+8.09%","+9.08%","+8.05%","+14.54%","+8.08%","+8.76%","04/30/2025","+7.35%","+15.94%","+8.21%","+9.20%","+7.28%","+15.92%","+8.20%","+8.88%","03/31/2025","Foreign Large Blend","5 stars out of 657 funds","5 stars out of 657 funds","5 stars out of 620 funds","5 stars out of 435 funds","04/30/2025"
"CEFA","Global X S&P Catholic Values Developed ex-U.S. ETF","ETF","--","--","--","No","0.35%","0.35%","06/22/2020","+10.94%","--","--","+8.38%","+11.78%","--","--","+8.39%","04/30/2025","+3.51%","--","--","+7.63%","+10.12%","--","--","+9.07%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"DFAE","Dimensional Emerging Core Equity Market ETF","ETF","--","--","--","No","0.35%","0.35%","12/01/2020","+6.96%","--","--","+2.71%","+7.29%","--","--","+2.69%","04/30/2025","+6.86%","--","--","+2.49%","+7.27%","--","--","+2.65%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"UIVM","VictoryShares International Value Momentum ETF","ETF","--","--","--","No","0.35%","0.39%","10/24/2017","+17.65%","+12.01%","--","+4.33%","+18.26%","+12.05%","--","+4.25%","04/30/2025","+9.30%","+12.14%","--","+3.59%","+9.59%","+12.22%","--","+3.57%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","3 stars out of 337 funds","3 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"CZAR","Themes Natural Monopoly ETF","ETF","--","--","--","No","0.35%","0.35%","12/12/2023","+14.17%","--","--","+14.13%","+13.80%","--","--","+14.07%","04/30/2025","+6.52%","--","--","+13.88%","+6.42%","--","--","+13.73%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"EQLT","iShares MSCI Emerging Markets Quality Factor ETF","ETF","--","--","--","No","0.35%","0.35%","09/04/2024","--","--","--","+2.89%","--","--","--","+3.49%","04/30/2025","--","--","--","+1.48%","--","--","--","+4.62%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"EVLU","iShares MSCI Emerging Markets Value Factor ETF","ETF","--","--","--","No","0.35%","0.35%","09/04/2024","--","--","--","+3.68%","--","--","--","+4.30%","04/30/2025","--","--","--","+4.79%","--","--","--","+5.64%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"AVDV","Avantis International Small Cap Value ETF","ETF","--","--","--","No","0.36%","0.36%","09/24/2019","+17.41%","+15.40%","--","+9.89%","+17.35%","+15.46%","--","+10.02%","04/30/2025","+10.55%","+17.21%","--","+9.21%","+10.49%","+17.26%","--","+9.40%","03/31/2025","Foreign Small/Mid Value","4 stars out of 55 funds","3 stars out of 55 funds","4 stars out of 48 funds","-- stars out of 29 funds","04/30/2025"
"AVES","Avantis Emerging Markets Value ETF","ETF","--","--","--","No","0.36%","0.36%","09/29/2021","+3.96%","--","--","+2.10%","+3.79%","--","--","+2.09%","04/30/2025","+3.32%","--","--","+1.67%","+3.48%","--","--","+1.76%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"EFG","iShares MSCI EAFE Growth ETF","ETF","--","--","--","No","0.36%","0.36%","08/01/2005","+7.52%","+7.95%","+5.39%","+5.52%","+7.18%","+8.04%","+5.40%","+5.51%","04/30/2025","-2.06%","+8.51%","+5.31%","+5.31%","-2.15%","+8.57%","+5.29%","+5.30%","03/31/2025","Foreign Large Growth","3 stars out of 368 funds","3 stars out of 368 funds","3 stars out of 333 funds","3 stars out of 220 funds","04/30/2025"
"GSEE","Goldman Sachs MarketBeta Emerging Markets Equity ETF","ETF","--","--","--","No","0.36%","0.45%","05/12/2020","+7.64%","--","--","+5.52%","+7.76%","--","--","+5.44%","04/30/2025","+6.83%","--","--","+5.35%","+7.11%","--","--","+5.45%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"NUEM","Nuveen ESG Emerging Markets Equity ETF","ETF","--","--","--","Yes","0.36%","0.36%","06/06/2017","+10.09%","+7.23%","--","+4.05%","+9.65%","+7.46%","--","+3.87%","04/30/2025","+8.55%","+8.94%","--","+3.95%","+8.44%","+9.05%","--","+3.87%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","2 stars out of 722 funds","3 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"JPIN","JPMorgan Diversified Return International Equity ETF","ETF","--","--","--","No","0.37%","0.37%","11/05/2014","+14.30%","+9.74%","+4.59%","+5.09%","+14.29%","+9.80%","+4.56%","+5.07%","04/30/2025","+5.96%","+10.25%","+4.59%","+4.63%","+5.91%","+10.29%","+4.51%","+4.61%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","2 stars out of 337 funds","2 stars out of 312 funds","3 stars out of 222 funds","04/30/2025"
"TLCI","Touchstone International Equity ETF","ETF","--","--","--","No","0.37%","1.00%","03/03/2025","--","--","--","+1.55%","--","--","--","+2.06%","04/30/2025","--","--","--","-3.40%","--","--","--","-2.49%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"DWMF","WisdomTree International Multifactor Fund","ETF","--","--","--","No","0.38%","0.38%","08/10/2018","+19.95%","+10.30%","--","+6.46%","+20.75%","+10.43%","--","+6.48%","04/30/2025","+13.03%","+10.40%","--","+5.67%","+13.70%","+10.48%","--","+5.81%","03/31/2025","Foreign Large Value","3 stars out of 337 funds","4 stars out of 337 funds","3 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"FEMR","Fidelity Enhanced Emerging Markets ETF","ETF","--","--","--","No","0.38%","0.38%","11/19/2024","--","--","--","+2.33%","--","--","--","+3.19%","04/30/2025","--","--","--","+1.01%","--","--","--","+2.99%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"MFDX","PIMCO RAFI Dynamic Multi-Factor International Equity ETF","ETF","--","--","--","No","0.39%","0.40%","08/31/2017","+17.28%","+12.83%","--","+6.79%","+16.78%","+12.77%","--","+6.70%","04/30/2025","+7.90%","+13.13%","--","+6.12%","+7.36%","+13.21%","--","+6.03%","03/31/2025","Foreign Large Blend","5 stars out of 657 funds","4 stars out of 657 funds","5 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"DFIS","Dimensional International Small Cap ETF","ETF","--","--","--","No","0.39%","0.40%","03/23/2022","+13.47%","--","--","+4.72%","+13.64%","--","--","+4.62%","04/30/2025","+5.19%","--","--","+2.93%","+5.42%","--","--","+3.10%","03/31/2025","Foreign Small/Mid Blend","4 stars out of 88 funds","4 stars out of 88 funds","-- stars out of 80 funds","-- stars out of 50 funds","04/30/2025"
"JHMD","John Hancock Multifactor Developed International ETF","ETF","--","--","--","No","0.39%","0.43%","12/15/2016","+12.22%","+11.59%","--","+7.62%","+12.76%","+11.74%","--","+7.47%","04/30/2025","+4.82%","+11.98%","--","+7.12%","+4.76%","+12.25%","--","+7.06%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","4 stars out of 657 funds","4 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"QINT","American Century Quality Diversified International ETF","ETF","--","--","--","No","0.39%","0.39%","09/10/2018","+16.12%","+11.82%","--","+7.37%","+15.83%","+11.88%","--","+7.17%","04/30/2025","+7.77%","+12.68%","--","+6.72%","+7.90%","+12.76%","--","+6.57%","03/31/2025","Foreign Large Blend","4 stars out of 657 funds","4 stars out of 657 funds","4 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"TLTD","FlexShares Morningstar Developed Markets ex-US Factor Tilt Index Fund","ETF","--","--","--","No","0.39%","0.41%","09/25/2012","+15.07%","+12.42%","+5.39%","+6.52%","+16.09%","+12.70%","+5.44%","+6.65%","04/30/2025","+7.96%","+13.12%","+5.41%","+6.19%","+8.58%","+13.56%","+5.45%","+6.35%","03/31/2025","Foreign Large Value","4 stars out of 337 funds","3 stars out of 337 funds","3 stars out of 312 funds","4 stars out of 222 funds","04/30/2025"
"DFEM","Dimensional Emerging Markets Core Equity 2 ETF","ETF","--","--","--","No","0.39%","0.40%","04/26/2022","+5.78%","--","--","+4.49%","+6.04%","--","--","+4.44%","04/30/2025","+6.35%","--","--","+4.25%","+6.48%","--","--","+4.41%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"IMOM","Alpha Architect International Quantitative Momentum ETF","ETF","--","--","--","No","0.39%","0.39%","12/22/2015","+14.59%","+8.67%","--","+4.11%","+15.11%","+8.83%","--","+3.96%","04/30/2025","+0.63%","+9.44%","--","+3.37%","+1.06%","+9.58%","--","+3.25%","03/31/2025","Foreign Large Blend","1 stars out of 657 funds","2 stars out of 657 funds","1 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"IVAL","Alpha Architect International Quantitative Value ETF","ETF","--","--","--","No","0.39%","0.39%","12/16/2014","+5.62%","+7.59%","+2.88%","+3.86%","+5.90%","+7.72%","+2.90%","+3.60%","04/30/2025","-2.56%","+8.61%","+2.96%","+3.48%","-2.30%","+8.91%","+3.03%","+3.31%","03/31/2025","Foreign Large Value","1 stars out of 337 funds","1 stars out of 337 funds","1 stars out of 312 funds","1 stars out of 222 funds","04/30/2025"
"FLSA","Franklin FTSE Saudi Arabia ETF","ETF","--","--","--","No","0.39%","0.39%","10/09/2018","-4.02%","+12.11%","--","+7.88%","-2.69%","+12.55%","--","+8.58%","04/30/2025","-3.63%","+14.85%","--","+8.34%","-3.10%","+14.49%","--","+8.99%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"DBAW","Xtrackers MSCI All World ex US Hedged Equity ETF","ETF","--","--","--","No","0.40%","0.40%","01/22/2014","+8.48%","+11.87%","+6.66%","+7.22%","+8.92%","+11.97%","+6.63%","+7.49%","04/30/2025","+8.54%","+13.37%","+6.90%","+7.28%","+9.70%","+13.77%","+6.98%","+7.68%","03/31/2025","Foreign Large Blend","5 stars out of 657 funds","5 stars out of 657 funds","5 stars out of 620 funds","5 stars out of 435 funds","04/30/2025"
"IOO","iShares Global 100 ETF","ETF","--","--","--","No","0.40%","0.40%","12/05/2000","+11.74%","+15.95%","+11.54%","+6.31%","+11.46%","+15.96%","+11.55%","+6.30%","04/30/2025","+8.96%","+18.43%","+11.88%","+6.33%","+8.89%","+18.46%","+11.87%","+6.33%","03/31/2025","Global Large-Stock Blend","5 stars out of 312 funds","5 stars out of 312 funds","5 stars out of 293 funds","5 stars out of 199 funds","04/30/2025"
"LVHI","Franklin International Low Volatility High Dividend Index ETF","ETF","--","--","--","No","0.40%","0.40%","07/27/2016","+13.93%","+14.70%","--","+8.97%","+14.49%","+14.89%","--","+9.03%","04/30/2025","+14.35%","+15.73%","--","+9.17%","+14.47%","+15.87%","--","+9.25%","03/31/2025","Foreign Large Value","5 stars out of 337 funds","5 stars out of 337 funds","5 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"DDWM","WisdomTree Dynamic International Equity ETF","ETF","--","--","--","No","0.40%","0.40%","01/07/2016","+15.25%","+13.69%","--","+8.96%","+15.72%","+13.94%","--","+8.98%","04/30/2025","+10.67%","+14.03%","--","+8.60%","+11.16%","+14.48%","--","+8.71%","03/31/2025","Foreign Large Value","4 stars out of 337 funds","4 stars out of 337 funds","4 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"SCZ","iShares MSCI EAFE Small-Cap ETF","ETF","--","--","--","No","0.40%","0.40%","12/10/2007","+13.01%","+8.91%","+5.36%","+4.33%","+12.48%","+9.06%","+5.33%","+4.23%","04/30/2025","+3.78%","+9.93%","+5.30%","+4.04%","+3.79%","+10.06%","+5.30%","+3.98%","03/31/2025","Foreign Small/Mid Blend","3 stars out of 88 funds","2 stars out of 88 funds","2 stars out of 80 funds","3 stars out of 50 funds","04/30/2025"
"GWX","SPDR® S&P® International Small Cap ETF","ETF","--","--","--","No","0.40%","0.40%","04/20/2007","+9.73%","+8.52%","+4.17%","+3.18%","+9.77%","+8.63%","+4.14%","+3.14%","04/30/2025","+0.94%","+9.61%","+4.19%","+2.87%","+1.06%","+9.80%","+4.20%","+2.88%","03/31/2025","Foreign Small/Mid Blend","2 stars out of 88 funds","1 stars out of 88 funds","2 stars out of 80 funds","2 stars out of 50 funds","04/30/2025"
"WDIV","SPDR® S&P Global Dividend ETF","ETF","--","$0.00","--","No","0.40%","0.40%","05/29/2013","+19.14%","+10.34%","+4.55%","+5.57%","+19.70%","+10.53%","+4.53%","+5.52%","04/30/2025","+13.38%","+11.37%","+4.59%","+5.33%","+13.68%","+11.57%","+4.57%","+5.29%","03/31/2025","Global Large-Stock Value","2 stars out of 147 funds","2 stars out of 147 funds","2 stars out of 134 funds","1 stars out of 114 funds","04/30/2025"
"FDRV","Fidelity Electric Vehicles and Future Transportation ETF","ETF","--","--","--","Yes","0.40%","0.42%","10/05/2021","-4.73%","--","--","-16.85%","-4.50%","--","--","-16.86%","04/30/2025","-10.40%","--","--","-17.05%","-9.78%","--","--","-16.96%","03/31/2025","Global Large-Stock Growth","1 stars out of 325 funds","1 stars out of 325 funds","-- stars out of 279 funds","-- stars out of 195 funds","04/30/2025"
"GENW","Genter Capital International Dividend ETF","ETF","--","--","--","No","0.40%","0.40%","01/13/2025","--","--","--","+14.38%","--","--","--","--","04/30/2025","--","--","--","+11.58%","--","--","--","--","03/31/2025","Foreign Large Value","-- stars out of 337 funds","-- stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"IEQ","Lazard International Dynamic Equity ETF","ETF","--","--","--","No","0.40%","0.40%","05/29/2015","+18.19%","+13.50%","--","+5.86%","+18.19%","+13.50%","--","+5.86%","04/30/2025","+12.82%","+14.16%","--","+5.62%","+12.82%","+14.16%","--","+5.62%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"DEHP","Dimensional Emerging Markets High Profitability ETF","ETF","--","--","--","No","0.41%","0.44%","04/26/2022","+3.56%","--","--","+2.57%","+4.45%","--","--","+2.62%","04/30/2025","+3.74%","--","--","+2.47%","+4.00%","--","--","+2.70%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","2 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"IEUS","iShares MSCI Europe Small-Cap ETF","ETF","--","--","--","No","0.41%","0.41%","11/12/2007","+13.61%","+10.06%","+5.55%","+4.06%","+13.67%","+10.19%","+5.49%","+4.31%","04/30/2025","+3.93%","+10.97%","+5.45%","+3.69%","+4.36%","+11.22%","+5.45%","+3.96%","03/31/2025","Europe Stock","2 stars out of 82 funds","1 stars out of 82 funds","2 stars out of 81 funds","2 stars out of 58 funds","04/30/2025"
"DFSE","Dimensional Emerging Markets Sustainability Core 1 ETF","ETF","--","--","--","Yes","0.41%","0.47%","11/01/2022","+7.03%","--","--","+14.26%","+7.04%","--","--","+14.14%","04/30/2025","+6.41%","--","--","+14.03%","+6.87%","--","--","+14.37%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"ESGG","FlexShares STOXX Global ESG Select Index Fund","ETF","--","--","--","Yes","0.42%","0.44%","07/13/2016","+11.02%","+14.17%","--","+11.73%","+11.18%","+14.05%","--","+11.63%","04/30/2025","+6.08%","+16.33%","--","+11.78%","+6.21%","+16.32%","--","+11.71%","03/31/2025","Global Large-Stock Blend","4 stars out of 312 funds","4 stars out of 312 funds","4 stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"DISV","Dimensional International Small Cap Value ETF","ETF","--","--","--","No","0.42%","0.43%","03/23/2022","+15.23%","--","--","+8.86%","+15.47%","--","--","+8.76%","04/30/2025","+9.79%","--","--","+7.55%","+10.10%","--","--","+7.72%","03/31/2025","Foreign Small/Mid Value","3 stars out of 55 funds","3 stars out of 55 funds","-- stars out of 48 funds","-- stars out of 29 funds","04/30/2025"
"DNL","WisdomTree Global ex-U.S. Quality Dividend Growth Fund","ETF","--","--","--","No","0.42%","0.42%","06/16/2006","-0.72%","+7.24%","+5.71%","+4.52%","-0.14%","+7.38%","+5.76%","+4.53%","04/30/2025","-6.70%","+8.60%","+5.84%","+4.34%","-6.39%","+8.81%","+5.85%","+4.39%","03/31/2025","Foreign Large Growth","3 stars out of 368 funds","1 stars out of 368 funds","3 stars out of 333 funds","3 stars out of 220 funds","04/30/2025"
"IQDG","WisdomTree International Quality Dividend Growth Fund","ETF","--","--","--","No","0.42%","0.42%","04/07/2016","+4.35%","+8.72%","--","+6.92%","+5.01%","+8.88%","--","+6.96%","04/30/2025","-4.63%","+9.29%","--","+6.43%","-4.31%","+9.64%","--","+6.55%","03/31/2025","Foreign Large Growth","3 stars out of 368 funds","3 stars out of 368 funds","3 stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"AVEE","Avantis Emerging Markets Small Cap Equity ETF","ETF","--","--","--","No","0.42%","0.42%","11/07/2023","+2.50%","--","--","+6.30%","+2.42%","--","--","+6.36%","04/30/2025","+2.56%","--","--","+5.27%","+2.34%","--","--","+5.46%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"HSCZ","iShares Currency Hedged MSCI EAFE Small-Cap ETF","ETF","--","--","--","No","0.43%","0.83%","06/29/2015","+7.53%","+12.77%","--","+8.49%","+7.72%","+12.80%","--","+8.27%","04/30/2025","+5.77%","+14.59%","--","+8.49%","+5.64%","+14.67%","--","+8.23%","03/31/2025","Foreign Small/Mid Blend","5 stars out of 88 funds","5 stars out of 88 funds","5 stars out of 80 funds","-- stars out of 50 funds","04/30/2025"
"DFEV","Dimensional Emerging Markets Value ETF","ETF","--","--","--","No","0.43%","0.47%","04/26/2022","+5.08%","--","--","+6.02%","+4.87%","--","--","+5.85%","04/30/2025","+7.02%","--","--","+6.06%","+7.55%","--","--","+6.31%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"DEXC","Dimensional Emerging Markets ex China Core Equity ETF","ETF","--","--","--","No","0.43%","0.53%","11/13/2024","--","--","--","-1.16%","--","--","--","-0.88%","04/30/2025","--","--","--","-4.02%","--","--","--","-3.16%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"RSX","VanEck Russia ETF","ETF","--","--","--","No","0.43%","0.93%","04/24/2007","-2.86%","-39.70%","-21.01%","-14.87%","0.00%","-18.24%","-8.11%","-7.35%","04/30/2025","-66.99%","-38.13%","-19.89%","-14.93%","0.00%","-16.12%","-6.76%","-7.38%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
